date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:20	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2016%20Mar%202020%2008:04:12%20GMT	https://zilirattan.az/robots.txt		(from )
12:04:21	65708/65708	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:04:13%20GMT	https://zilirattan.az/	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/index.html	(from )
12:04:21	29295/29295	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2012:40:04%20GMT	https://zilirattan.az/wp-includes/css/dist/block-library/style.min.css?ver=5.2.5	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-includes/css/dist/block-library/style.min6619.css	(from https://zilirattan.az/)
12:04:22	2224/2224	---MC-	200	added ('OK')	application/rss+xml	etag:%224d30e6f7dd0cfcd5cb759a03e66de304%22	https://zilirattan.az/feed/	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/feed/index.html	(from https://zilirattan.az/)
12:04:22	742/742	---MC-	200	added ('OK')	application/rss+xml	etag:%220f29d6d833b3fa1b41fdb0edd81b3b6c%22	https://zilirattan.az/comments/feed/	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/comments/feed/index.html	(from https://zilirattan.az/)
12:04:23	30440/30440	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2007:19:38%20GMT	https://zilirattan.az/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://zilirattan.az/)
12:04:23	1685/1685	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:39:05%20GMT	https://zilirattan.az/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://zilirattan.az/)
12:04:23	47558/47558	---M--	200	added ('OK')	text/css	date:Wed,%2015%20May%202019%2019:47:55%20GMT	https://zilirattan.az/wp-includes/css/dashicons.min.css?ver=5.2.5	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-includes/css/dashicons.min6619.css	(from https://zilirattan.az/)
12:04:23	16603/16603	---M--	200	added ('OK')	text/css	date:Sat,%2009%20Nov%202019%2019:25:36%20GMT	https://zilirattan.az/wp-content/plugins/everest-forms/assets/css/everest-forms.css?ver=1.5.7	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/everest-forms/assets/css/everest-forms00e2.css	(from https://zilirattan.az/)
12:04:23	16542/16542	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2007:19:38%20GMT	https://zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9e95.css	(from https://zilirattan.az/)
12:04:24	6758/6758	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2007:19:38%20GMT	https://zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9e95.css	(from https://zilirattan.az/)
12:04:24	62669/62669	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2007:19:38%20GMT	https://zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/woocommerce/assets/css/woocommerce9e95.css	(from https://zilirattan.az/)
12:04:24	30999/30999	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://zilirattan.az/)
12:04:24	49158/49158	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202019%2006:45:39%20GMT	https://zilirattan.az/wp-content/themes/zakra/style.css?ver=5.2.5	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/themes/zakra/style6619.css	(from https://zilirattan.az/)
12:04:25	7482/7482	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2008:11:25%20GMT	https://zilirattan.az/wp-content/themes/zakra/assets/css/woocommerce.css?ver=1.3.3	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/themes/zakra/assets/css/woocommerce3ba1.css	(from https://zilirattan.az/)
12:04:25	14534/14534	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.4.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min6104.css	(from https://zilirattan.az/)
12:04:25	18468/18468	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.7.4	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/lib/animations/animations.minae29.css	(from https://zilirattan.az/)
12:04:26	103603/103603	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.7.4	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/css/frontend.minae29.css	(from https://zilirattan.az/)
12:04:26	84/84	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202019%2012:08:40%20GMT	https://zilirattan.az/wp-content/uploads/elementor/css/global.css?ver=1573128520	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/uploads/elementor/css/globaleabc.css	(from https://zilirattan.az/)
12:04:26	43210/43210	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2008:10:44%20GMT	https://zilirattan.az/wp-content/uploads/elementor/css/post-224.css?ver=1577175044	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/uploads/elementor/css/post-2242922.css	(from https://zilirattan.az/)
12:04:27	54540/54540	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from https://zilirattan.az/)
12:04:27	675/675	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Oct%202019%2010:38:46%20GMT	https://zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.9.0	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.minad76.css	(from https://zilirattan.az/)
12:04:28	272071/272071	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202019%2019:53:07%20GMT	https://js.apies.org/jquery.min.js?ver=1566	C:/Users/Code/Desktop/Zilirattan.az/js.apies.org/jquery.min21bd.js	(from https://zilirattan.az/)
12:04:29	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://zilirattan.az/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://zilirattan.az/)
12:04:29	96873/96873	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2017:08:53%20GMT	https://zilirattan.az/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-includes/js/jquery/jquery4a5f.js	(from https://zilirattan.az/)
12:04:30	792/792	---MC-	200	added ('OK')	text/xml	date:Mon,%2016%20Mar%202020%2008:04:23%20GMT	https://zilirattan.az/xmlrpc.php?rsd	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/xmlrpc0db0.php	(from https://zilirattan.az/)
12:04:31	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://zilirattan.az/wp-includes/wlwmanifest.xml	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-includes/wlwmanifest.xml	(from https://zilirattan.az/)
12:04:32	2167/2167	---MC-	200	added ('OK')	application/json	date:Mon,%2016%20Mar%202020%2008:04:25%20GMT	https://zilirattan.az/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fzilirattan.az%2F	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-json/oembed/1.0/embed8f7b.json	(from https://zilirattan.az/)
12:04:33	2264/2264	---MC-	200	added ('OK')	text/xml	date:Mon,%2016%20Mar%202020%2008:04:27%20GMT	https://zilirattan.az/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fzilirattan.az%2F&format=xml	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-json/oembed/1.0/embed2744	(from https://zilirattan.az/)
12:04:33	1215852/1215852	---MC-	200	added ('OK')	application/json	date:Mon,%2016%20Mar%202020%2008:04:24%20GMT	https://zilirattan.az/wp-json/	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-json/index.html	(from https://zilirattan.az/)
12:04:33	775/775	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202019%2018:06:15%20GMT	https://zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-32x32.jpg	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-32x32.jpg	(from https://zilirattan.az/)
12:04:33	7166/7166	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202019%2018:06:15%20GMT	https://zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-192x192.jpg	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-192x192.jpg	(from https://zilirattan.az/)
12:04:34	6874/6874	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202019%2018:06:15%20GMT	https://zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-180x180.jpg	C:/Users/Code/Desktop/Zilirattan.az/zilirattan.az/wp-content/uploads/2019/10/cropped-20191022_113215-1-180x180.jpg	(from https://zilirattan.az/)
